WY,Date,Q_mean
1914,11/9/1913,5870
1914,11/10/1913,30700
1914,11/11/1913,51300
1914,11/12/1913,32400
1914,11/13/1913,12500
1914,11/14/1913,9500
1914,11/15/1913,7400
1914,11/16/1913,6620
1914,11/17/1913,5870
1914,11/18/1913,5870
1914,11/19/1913,7400
1914,11/20/1913,6620
1914,11/21/1913,5870
1914,11/22/1913,4960
1914,11/23/1913,4600
1914,11/24/1913,4260
1914,11/25/1913,3740
1914,11/26/1913,3580
1914,11/27/1913,2930
1914,11/28/1913,3740
1914,11/29/1913,3580
1914,11/30/1913,3580
1914,12/1/1913,3580
1914,12/2/1913,4600
1914,12/3/1913,13000
1914,12/4/1913,22100
1914,12/5/1913,13000
1914,12/6/1913,9060
1914,12/7/1913,7400
1914,12/8/1913,7010
1914,12/9/1913,6240
1914,12/10/1913,7400
1914,12/11/1913,5140
1914,12/12/1913,5870
1914,12/13/1913,3580
1914,12/14/1913,4780
1914,12/15/1913,4430
1914,12/16/1913,3740
1914,12/17/1913,3580
1914,12/18/1913,4080
1914,12/19/1913,3580
1914,12/20/1913,3910
1914,12/21/1913,3580
1914,12/22/1913,3410
1914,12/23/1913,3410
1914,12/24/1913,3910
1914,12/25/1913,7400
1914,12/26/1913,13600
1914,12/27/1913,17200
1914,12/28/1913,17900
1914,12/29/1913,11900
1914,12/30/1913,9060
1914,12/31/1913,8630
1914,1/1/1914,7400
1914,1/2/1914,7400
1914,1/3/1914,7800
1914,1/4/1914,29000
1914,1/5/1914,45400
1914,1/6/1914,37800
1914,1/7/1914,16600
1914,1/8/1914,10900
1914,1/9/1914,9500
1914,1/10/1914,8630
1914,1/11/1914,8210
1914,1/12/1914,7400
1914,1/13/1914,7800
1914,1/14/1914,7400
1914,1/15/1914,6620
1914,1/16/1914,5500
1914,1/17/1914,4600
1914,1/18/1914,4600
1914,1/19/1914,5870
1914,1/20/1914,4780
1914,1/21/1914,5870
1914,1/22/1914,4600
1914,1/23/1914,4430
1914,1/24/1914,4600
1914,1/25/1914,5870
1914,1/26/1914,6620
1914,1/27/1914,7400
1914,1/28/1914,7800
1914,1/29/1914,7400
1914,1/30/1914,7400
1914,1/31/1914,7400
1914,2/1/1914,8630
1914,2/2/1914,11400
1914,2/3/1914,13600
1914,2/4/1914,10400
1914,2/5/1914,8630
1914,2/6/1914,8210
1914,2/7/1914,11900
1914,2/8/1914,29000
1914,2/9/1914,25100
1914,2/10/1914,15300
1914,2/11/1914,13600
1914,2/12/1914,9960
1914,2/13/1914,11900
1914,2/14/1914,9060
1914,2/15/1914,7400
1914,2/16/1914,8210
1914,2/17/1914,8630
1914,2/18/1914,8210
1914,2/19/1914,9960
1914,2/20/1914,13000
1914,2/21/1914,39700
1914,2/22/1914,44400
1914,2/23/1914,31500
1914,2/24/1914,20600
1914,2/25/1914,16600
1914,2/26/1914,11900
1914,2/27/1914,10900
1914,2/28/1914,10900
1914,3/1/1914,11900
1914,3/2/1914,12500
1914,3/3/1914,10400
1914,3/4/1914,9060
1914,3/5/1914,8210
1914,3/6/1914,8210
1914,3/7/1914,9060
1914,3/8/1914,11400
1914,3/9/1914,9060
1914,3/10/1914,8210
1914,3/11/1914,8210
1914,3/12/1914,9500
1914,3/13/1914,11900
1914,3/14/1914,14700
1914,3/15/1914,16600
1914,3/16/1914,15900
1914,3/17/1914,13600
1914,3/18/1914,11400
1914,3/19/1914,11900
1914,3/20/1914,12500
1914,3/21/1914,13000
1914,3/22/1914,11900
1914,3/23/1914,11900
1914,3/24/1914,12500
1914,3/25/1914,13000
1914,3/26/1914,10900
1914,3/27/1914,9960
1914,3/28/1914,9060
1914,3/29/1914,8210
1914,3/30/1914,8210
1914,3/31/1914,8210
1914,4/1/1914,8210
1914,4/2/1914,8630
1914,4/3/1914,10400
1914,4/4/1914,10400
1914,4/5/1914,9500
1914,4/6/1914,8630
1914,4/7/1914,7400
1914,4/8/1914,8210
1914,4/9/1914,7400
1914,4/10/1914,8210
1914,4/11/1914,9060
1914,4/12/1914,8210
1914,4/13/1914,7010
1914,4/14/1914,5870
1914,4/15/1914,7400
1914,4/16/1914,10400
1914,4/17/1914,16600
1914,4/18/1914,14200
1914,4/19/1914,10400
1914,4/20/1914,8210
1914,4/21/1914,10900
1914,4/22/1914,11900
1914,4/23/1914,10900
1914,4/24/1914,9060
1914,4/25/1914,8210
1914,4/26/1914,7400
1914,4/27/1914,7010
1914,4/28/1914,6240
1914,4/29/1914,7400
1914,4/30/1914,7010
1914,5/1/1914,5500
1914,5/2/1914,4780
1914,5/3/1914,4960
1914,5/4/1914,4780
1914,5/5/1914,5500
1914,5/6/1914,5870
1914,5/7/1914,8210
1914,5/8/1914,9500
1914,5/9/1914,7400
1914,5/10/1914,6620
1914,5/11/1914,5140
1914,5/12/1914,4780
1914,5/13/1914,5500
1914,5/14/1914,6240
1914,5/15/1914,4960
1914,5/16/1914,7010
1914,5/17/1914,7400
1914,5/18/1914,3740
1914,5/19/1914,3250
1914,5/20/1914,4430
1914,5/21/1914,3580
1914,5/22/1914,3740
1914,5/23/1914,3580
1914,5/24/1914,3740
1914,5/25/1914,3410
1914,5/26/1914,3410
1914,5/27/1914,2930
1914,5/28/1914,3250
1914,5/29/1914,3090
1914,5/30/1914,2930
1914,5/31/1914,3740
1914,6/1/1914,4960
1914,6/2/1914,3580
1914,6/3/1914,3090
1914,6/4/1914,2460
1914,6/5/1914,1880
1914,6/6/1914,3580
1914,6/7/1914,3250
1914,6/8/1914,2620
1914,6/9/1914,2930
1914,6/10/1914,3580
1914,6/11/1914,2770
1914,6/12/1914,2160
1914,6/13/1914,2310
1914,6/14/1914,2020
1914,6/15/1914,2930
1914,6/16/1914,3250
1914,6/17/1914,2460
1914,6/18/1914,3410
1914,6/19/1914,2620
1914,6/20/1914,2460
1914,6/21/1914,2160
1914,6/22/1914,2310
1914,6/23/1914,2160
1914,6/24/1914,1880
1914,6/25/1914,1930
1914,6/26/1914,2460
1914,6/27/1914,1930
1914,6/28/1914,3740
1914,6/29/1914,7010
1914,6/30/1914,5870
1914,7/1/1914,5870
1914,7/2/1914,7400
1914,7/3/1914,7400
1914,7/4/1914,6620
1914,7/5/1914,7400
1914,7/6/1914,7800
1914,7/7/1914,7400
1914,7/8/1914,5320
1914,7/9/1914,5140
1914,7/10/1914,4780
1914,7/11/1914,3740
1914,7/12/1914,4780
1914,7/13/1914,4960
1914,7/14/1914,4960
1914,7/15/1914,5870
1914,7/16/1914,27400
1914,7/17/1914,22800
1914,7/18/1914,14700
1914,7/19/1914,9500
1914,7/20/1914,7200
1914,7/21/1914,4430
1914,7/22/1914,3580
1914,7/23/1914,3500
1914,7/24/1914,3250
1914,7/25/1914,2930
1914,7/26/1914,2620
1914,7/27/1914,2460
1914,7/28/1914,2620
1914,7/29/1914,3250
1914,7/30/1914,3910
1914,7/31/1914,4260
1914,8/1/1914,4080
1914,8/2/1914,3580
1914,8/3/1914,2770
1914,8/4/1914,2930
1914,8/5/1914,4960
1914,8/6/1914,4430
1914,8/7/1914,3580
1914,8/8/1914,3740
1914,8/9/1914,2160
1914,8/10/1914,2020
1914,8/11/1914,1620
1914,8/12/1914,2460
1914,8/13/1914,2310
1914,8/14/1914,2160
1914,8/15/1914,2310
1914,8/16/1914,2310
1914,8/17/1914,2040
1914,8/18/1914,1820
1914,8/19/1914,1520
1914,8/20/1914,1720
1914,8/21/1914,1720
1914,8/22/1914,1620
